store_cd,store_name,prefecture_cd,prefecture,address,tel_no,longitude,latitude,floor_area
S14047,Sagamihara store,14,Kanagawa Prefecture,"6-chome, Chiyoda, Sagamihara City, Kanagawa Prefecture",042-123-4050,139.3748,35.55959,1047.0
S12013,Narashino store,12,Chiba prefecture,"1-chome Shibaen, Narashino City, Chiba Prefecture",047-123-4002,140.022,35.66122,808.0
S13032,Naka -Rokugo store,13,Tokyo,"Nakarokugo Sanchome, Ota-ku, Tokyo",03-0123-4021,139.7123,35.54682,1354.0
S14042,Niiyama Shinto store,14,Kanagawa Prefecture,"Shinyamashita 2-chome, Naka-ku, Yokohama-shi, Kanagawa",045-123-4047,139.6593,35.43894,1044.0
S13039,Minamiogikubo store,13,Tokyo,"Minamiogikubo 4-chome, Suginami-ku, Tokyo",03-0123-4025,139.6152,35.70045,1133.0
S12030,Yawata store,12,Chiba prefecture,"Yawata 3-chome, Ichikawa City, Chiba Prefecture",047-123-4005,139.924,35.72318,1162.0
S13009,Yoga store,13,Tokyo,"Setagaya-ku, Tokyo Kaga 2-chome",03-0123-4013,139.6382,35.6272,1243.0
S14025,Yamato store,14,Kanagawa Prefecture,"Shimwada, Yamato City, Kanagawa Prefecture",046-123-4039,139.468,35.43414,1011.0
S14045,Atsugi store,14,Kanagawa Prefecture,"2-chome Nakamachi, Atsugi City, Kanagawa Prefecture",046-123-4048,139.3651,35.44182,980.0
S13005,Shirasagi store,13,Tokyo,"Shirasagi Sanchome, Nakano-ku, Tokyo",03-0123-4011,139.6307,35.72246,1259.0
S12029,Higashino store,12,Chiba prefecture,"1-chome Higashino, Urayasu City, Chiba Prefecture",047-123-4004,139.8968,35.65086,1101.0
S13003,Komae store,13,Tokyo,"Komae City, Tokyo Izumi Honcho 4-chome",03-0123-4009,139.5668,35.64462,1529.0
S12053,Takasu store,12,Chiba prefecture,"Takasu 5-chome, Urayasu City, Chiba Prefecture",047-123-4006,139.9176,35.63755,1555.0
S13037,Minamisuna 1 -chome store,13,Tokyo,"Koto-ku, Tokyo Minamisuna 1-chome",03-0123-4023,139.8215,35.67898,814.0
S14024,Mita store,14,Kanagawa Prefecture,"Mita 4-chome, Tama-ku, Kawasaki City, Kanagawa Prefecture",044-123-4038,139.5424,35.6077,972.0
S14006,Kuzugaya store,14,Kanagawa Prefecture,"Kuzugaya, Tsuzuki-ku, Yokohama City, Kanagawa Prefecture",045-123-4031,139.5633,35.53573,1886.0
