postal_cd,prefecture,city,town,full_address,longitude,latitude
742-0336,Yamaguchi Prefecture,Iwakuni,Kuga town,"Shinichi, Kuga-cho, Iwakuni City, Yamaguchi Prefecture",132.07927,34.09225
570-0073,Osaka prefecture,Moriguchi City,Dojo town,"Doi Town, Moriguchi City, Osaka Prefecture",135.55962,34.73185
987-1301,Miyagi Prefecture,Osaki city,Matsuyama Soma,"Matsuyama Somaya, Osaki City, Miyagi Prefecture",141.08281,38.51946
370-0823,Gunma Prefecture,Takasaki City,Nakoya-cho,"Nakakoya-cho, Takasaki City, Gunma Prefecture",139.00514,36.32684
601-1375,Kyoto,"Fushimi-ku, Kyoto",Daigo Takahata Town,"Daigo Takahata-cho, Fushimi-ku, Kyoto-shi, Kyoto",135.81114,34.95078
163-1021,Tokyo,Shinjuku ward,Nishi-Shinjuku,"Shinjuku-ku, Tokyo Nishi-Shinjuku Park Tower 21st floor",139.68762,35.68754
774-0045,Tokushima,Anan City,Treasure town,"Toka-cho, Anan City, Tokushima Prefecture",134.64052,33.91812
520-0221,Shiga Prefecture,Otsu City,Midoricho,"Midoricho, Otsu City, Shiga Prefecture",135.90904,35.14502
374-0026,Gunma Prefecture,Tatebayashi,Shinjuku,"Shinjuku, Tatebayashi City, Gunma Prefecture",139.52872,36.23914
765-0014,Kagawa Prefecture,Zentsuji City,Ikuno Honmachi,"Ikuno Honcho, Zentsuji City, Kagawa Prefecture",133.78952,34.22597
662-0962,Hyogo prefecture,Nishinomiya City,Matsushita Town,"Matsushita Town, Nishinomiya City, Hyogo Prefecture",135.32793,34.73579
710-0032,Okayama Prefecture,Kurashiki City,East Granulura,"Higashi Kimurura, Kurashiki City, Okayama Prefecture",133.799,34.56632
504-0935,Gifu Prefecture,Kakamigahara City,Seirincho,"Seiri-cho, Kakamigahara City, Gifu Prefecture",136.82367,35.38523
912-0804,Fukui prefecture,Ohno city,Forest,"Morimame, Ono City, Fukui Prefecture",136.53108,36.00723
015-0856,Akita,Yurihonjo City,Circle,"Yurihonjo City, Akita Prefecture Enchiwaki",140.05688,39.38401
600-8365,Kyoto,"Shimogyo-ku, Kyoto",Tamba Kaido Town,"Tamba Kaido Town, Shimogyo-ku, Kyoto-shi, Kyoto",135.74837,34.99404
424-0933,Shizuoka Prefecture,"Shimizu-ku, Shizuoka City",Sanko Town,"Sanko-cho, Shimizu-ku, Shizuoka City, Shizuoka Prefecture",138.48708,35.0026
428-0008,Shizuoka Prefecture,Shimada City,Bamboo down,"Takeshita, Shimada City, Shizuoka Prefecture",138.11755,34.84702
602-0905,Kyoto,"Kamigyo-ku, Kyoto",Ichimatsucho,"Ichimatsu-cho, Kamigyo-ku, Kyoto-shi, Kyoto",135.75708,35.02714
258-0002,Kanagawa Prefecture,"Matsuda-cho, Ashigara-gun",Gods,"Kamiyama, Matsuda-cho, Ashigami-gun, Kanagawa",139.15726,35.35029
669-2445,Hyogo prefecture,Tamba Sasayama City,Novice,"Tamba Sasayama City, Hyogo Prefecture Nonogaki",135.26886,35.05622
894-3213,Kagoshima prefecture,"Yamatomura, Oshima-gun",Shito intuition,"Shito, Yamato Village, Oshima-gun, Kagoshima Prefecture",129.29318,28.31858
950-3353,Niigata Prefecture,"Kita-ku, Niigata",Nagato Road,"Niigata City, Niigata City, Niigata City, Kita-ku, Kita-ku",139.1853,37.88573
610-0201,Kyoto,"Uji Tahara-cho, Suzuki-gun",Zen Temple,"Zen Jenji Temple, Uji Tawara-cho, Suki-gun, Kyoto",135.87076,34.87762
310-0046,Ibaraki Prefecture,Mito City,Dawn town,"Akebonocho, Mito City, Ibaraki Prefecture",140.44398,36.39466
080-0856,Hokkaido,Obihiro City,South town south,"Minamimachi, Obihiro, Hokkaido",143.1499,42.8925
675-0057,Hyogo prefecture,Kakogawa City,Higashijin Yoshi Town Shinkichi,"Kakichi-cho, Kakogawa City, Hyogo Prefecture",134.82755,34.7937
417-0862,Shizuoka Prefecture,Fuji City,Ishizaka,"Ishizaka, Fuji City, Shizuoka Prefecture",138.68362,35.18129
939-0117,Toyama Prefecture,Takaoka City,Fukuoka-cho Fukuoka Shin,"Fukuoka-cho, Takaoka-shi, Toyama New Fukuoka",136.93686,36.71347
704-8127,Okayama Prefecture,"Higashi-ku, Okayama City",Saidaiji New,"New Saidaiji Temple, Higashi-ku, Okayama City, Okayama Prefecture",134.03929,34.63857
659-0028,Hyogo prefecture,Ashiya City,Hakimachi,"Hyogo Prefecture, Ashiya City, Hakamachi Town",135.31346,34.73231
912-0204,Fukui prefecture,Ohno city,Shell dish,"Ohno City, Fukui Prefecture Samai dish",136.6666,35.91404
101-0062,Tokyo,Chiyoda Ward,Kanda Surugadai,"Kanda Surugadai, Chiyoda-ku, Tokyo",139.76244,35.698
933-0208,Toyama Prefecture,Firing city,Eight lectures,"Hachiko, Imizu City, Toyama Prefecture",137.12813,36.74279
315-0154,Ibaraki Prefecture,Ishioka City,Ayagi,"Kami-Aoyagi, Ishioka City, Ibaraki Prefecture",140.15369,36.20381
989-6252,Miyagi Prefecture,Osaki city,Furukawa valley,"Furukawa Aratani, Osaki City, Miyagi Prefecture",140.97746,38.61229
949-7254,Niigata Prefecture,Minami Uonuma City,Imaimachi Nitta,"Nitta, Imamachi, Minami Uonuma City, Niigata Prefecture",138.92679,37.13842
649-6162,Wakayama Prefecture,Kinogawa City,Taibo,"Takebo, Kinokawa City, Wakayama Prefecture",135.36449,34.23006
781-4403,Kochi Prefecture,Kami City,Monobe Town Oshiya,"Oshiya, Kami City, Kochi Prefecture",133.90436,33.70545
376-0041,Gunma Prefecture,Kiryu city,Kawauchi Town,"Kawanai-cho, Kiryu Ichiichi, Gunma Prefecture",139.32314,36.43195
624-0936,Kyoto,Maizuru City,Navonoya,"Konya, Maizuru City, Kyoto Prefecture",135.32262,35.44744
939-1675,Toyama Prefecture,Nanto City,Ishigaya,"Iya, Nanto City, Toyama Prefecture",136.81776,36.53481
669-3312,Hyogo prefecture,Tamba City,Kashiwara Machida Road,"Kashiwara Machido Road, Tamba City, Hyogo Prefecture",135.04912,35.14286
989-4308,Miyagi Prefecture,Osaki city,Tajiri Numa,"Tajiriuma Club, Osaki City, Miyagi Prefecture",141.05476,38.6077
952-1211,Niigata Prefecture,Sado City,Reconciliation,"Nakako, Sado City, Niigata Prefecture",138.35129,38.04549
023-0801,Iwate Prefecture,Oshu City,Mizusawa Yokomachi,"Mizusawa Yokomachi, Oshu City, Iwate Prefecture",141.13898,39.13882
012-0000,Akita,Fuzzy city,,"Yuzawa City, Akita Prefecture",140.4946,39.16411
880-1104,Miyazaki prefecture,"Kunomi-cho, Higashi-District County",Jam,Miyazaki Prefecture Higashi-Ryomo Prefecture County Taishiri,131.30606,31.98313
060-0034,Hokkaido,"Chuo-ku, Sapporo",North Shijo East,"5-chome, Kita-Shijo Higashi, Chuo-ku, Sapporo, Hokkaido",141.36282,43.06783
936-0876,Toyama Prefecture,Namekawa City,New rice,"Inaizumi, Namekawa City, Toyama Prefecture",137.37018,36.7586
444-2301,Aichi prefecture,Toyota City,Higashikawabata Town,"Higashikawata-cho, Toyota City, Aichi Prefecture",137.31599,35.11344
615-8114,Kyoto,"Saikyo-ku, Kyoto",Kawashima Sakuraen-cho,"Kawashima Sakuraen-cho, Saikyo-ku, Kyoto-shi, Kyoto",135.70197,34.96639
912-0133,Fukui prefecture,Ohno city,Territory,"Togens of Ono City, Fukui Prefecture",136.57724,35.99127
930-0231,Toyama Prefecture,"Tachiyama-cho, Nakamikawa-gun",Sakaizawa,"Sakaizawa, Tateyama-cho, Nakashinagawa-gun, Toyama Prefecture",137.32948,36.65106
607-8192,Kyoto,"Yamashina-ku, Kyoto",Oya Gojoda Town,"Oya Seisetamachi, Yamashina-ku, Kyoto-shi, Kyoto",135.81479,34.96893
781-1506,Kochi Prefecture,"Niyodogawa-cho, Agawa-gun",Deer,"Shikamori, Niyodogawa-cho, Agawa-gun, Kochi Prefecture",133.17297,33.59893
855-0013,Nagasaki Prefecture,Island city,Hieda Town,"Hieda-cho, Shimabara City, Nagasaki Prefecture",130.35162,32.81023
300-0335,Ibaraki Prefecture,"Ami-cho, Inashiki-gun",Okazaki,"Okazaki, Amami-cho, Inashiki-gun, Ibaraki Prefecture",140.21919,36.042
068-1135,Hokkaido,"Shinshinotsu Village, Ishikari-gun",Cloth cloth,"Shinshinotsu Murakuro, Ishikari-gun, Hokkaido",141.63525,43.20684
330-0062,Saitama,"Urawa-ku, Saitama City",Nakamachi,"Nakamachi, Urawa-ku, Saitama-shi, Saitama",139.6485,35.85996
910-0822,Fukui prefecture,Fukui City,Genjojima Town,"Genjojima-cho, Fukui City, Fukui Prefecture",136.27945,36.08808
767-0014,Kagawa Prefecture,Mitoyoichi,Takase-cho Uma,"Kamima, Takase-cho, Mitoyo-shi, Kagawa",133.78432,34.17312
059-1961,Hokkaido,"Anhei-cho, Yuko-gun",Oiwake Garden,"Oiwako-cho, Anhei-cho, Hokkaido",141.81422,42.86633
716-0065,Okayama Prefecture,Takahashi City,"Otsuku, Matsubara-cho","Otsugiyu, Matsubara-cho, Takahashi City, Okayama Prefecture",133.56039,34.80959
650-0048,Hyogo prefecture,Kobe City Chuo Ward,Kobe Airport,"Kobe Airport, Chuo-ku, Kobe City, Hyogo Prefecture",135.22479,34.6377
049-0158,Hokkaido,Hokuto City,Nozaki,Hokkaido Hokuto City Nozaki,140.60445,41.86361
942-0301,Niigata Prefecture,Joetsu City,Urakawahara-ku Kamikota,"Kami-inomida, Urakawahara-ku, Joetsu City, Niigata Prefecture",138.4801,37.17554
300-4234,Ibaraki Prefecture,Tsukuba City,Mountain tree,"Yamaki, Tsukuba City, Ibaraki Prefecture",140.07774,36.16162
248-0027,Kanagawa Prefecture,Kamakura city,Flute,"Fuefida, Kamakura City, Kanagawa Prefecture",139.51035,35.33196
603-8065,Kyoto,"Kita-ku, Kyoto",Kamigamo Gozonoguchi Town,"Kita-ku, Kyoto-shi, Kyoto",135.75256,35.05646
520-1103,Shiga Prefecture,Takashima City,Miyano,"Miyano, Takashima City, Shiga Prefecture",135.99886,35.30973
299-1174,Chiba prefecture,Kimitsu City,Nogi,"Hogiaku, Kimitsu City, Chiba Prefecture",139.93051,35.31813
098-1506,Hokkaido,"Nishikobe Village, Monbetsu-gun",Algae,"Nishi-Kobe Village, Nishikobe Village in Monbetsu-gun, Hokkaido",143.00446,44.34417
720-0074,Hiroshima,Fukuyama City,Kitakonjo,"Kitahojo, Fukuyama City, Hiroshima Prefecture",133.35117,34.49385
651-1603,Hyogo prefecture,"Kita-ku, Kobe","Awakawa, Awakawa-cho","Awakawa, Kita-ku, Kobe-shi, Hyogo",135.0975,34.81002
370-0005,Gunma Prefecture,Takasaki City,Hamajiri Town,"Hamajiri-cho, Takasaki City, Gunma Prefecture",139.01677,36.35292
742-2601,Yamaguchi Prefecture,"Suo-Oshima-cho, Oshima-gun",Ichida,"Oshida Ochida, Oshima-cho, Oshima-gun, Yamaguchi Prefecture",132.42882,33.9455
277-0931,Chiba prefecture,Kashiwa City,Fujigaya,"Fujigaya, Kashiwa City, Chiba Prefecture",140.02138,35.80233
547-0021,Osaka prefecture,"Hirano Ward, Osaka City",Kirin East,"Kirin Higashi, Hirano-ku, Osaka-shi, Osaka",135.56346,34.61349
929-1574,Ishikawa Prefecture,Hakui City,Sakai Town,"Sakai Town, Hakui City, Ishikawa Prefecture",136.85452,36.91954
470-0165,Aichi prefecture,"Togo-cho, Aichi-gun",Shimizu,"Shimizu, Togo-cho, Aichi-gun, Aichi Prefecture",137.02859,35.09174
998-0281,Yamagata Prefecture,Sakata City,Island,"Tobishima, Sakata City, Yamagata Prefecture",139.54973,39.195
483-8207,Aichi prefecture,Gangnam City,Kochino Town Atsuda,"Atsuda, Kochino-cho, Konan City, Aichi Prefecture",136.86966,35.34321
904-2221,Okinawa Prefecture,Uruma city,Hira River,"Hira River, Uruma City, Okinawa Prefecture",127.84971,26.36783
891-2301,Kagoshima prefecture,Kanoya,Aribu town,"Aritake-cho, Kanoya City, Kagoshima Prefecture",130.80092,31.43085
452-0053,Aichi prefecture,Kiyosu City,"Minami Matsubara, Nishibiwajima-cho","Minami-Matsubara, Nishibiwajima-cho, Kiyosu City, Aichi Prefecture",136.85982,35.19246
939-2212,Toyama Prefecture,Toyama City,Funagura,"Funakura, Toyama City, Toyama Prefecture",137.22986,36.56341
930-0974,Toyama Prefecture,Toyama City,Chief river,"Toyama City, Toyama Prefecture",137.24643,36.68755
329-2135,Tochigi Prefecture,Yaita City,During ~,"Naka-shi, Tochigi Prefecture",139.95277,36.79522
923-0345,Ishikawa Prefecture,Komatsu City,Natsuri Town,"Futsuri-cho, Komatsu City, Ishikawa Prefecture",136.42522,36.33016
511-1126,Mie Prefecture,Kuwana City,Nagashima Town Motogi,"Matagi, Nagashima-cho, Kuwana City, Mie Prefecture",136.70335,35.09368
370-2133,Gunma Prefecture,Takasaki City,Yoshii-cho Yoshii River,"Yoshii River, Yoshii-cho, Takasaki City, Gunma Prefecture",138.98811,36.24982
634-0042,Nara Prefecture,Kashihara City,Iris town,"Shobu-cho, Kashihara City, Nara Prefecture",135.80635,34.481
617-0826,Kyoto,Nagaokakyo City,Opening of a field,"Kaita, Nagaokakyo City, Kyoto Prefecture",135.69685,34.92877
699-0902,Shimane Prefecture,Izumo city,Dakimachi,"Tadakicho, Izumo City, Shimane Prefecture",132.6438,35.27283
952-1307,Niigata Prefecture,Sado City,Tokyo University,"Higashi Odori, Sado City, Niigata Prefecture",138.33098,38.00372
629-0134,Kyoto,Nantan City,Yagicho Nishida,"Nishida, Yagicho, Nantan City, Kyoto Prefecture",135.54172,35.07064
540-6212,Osaka prefecture,"Chuo-ku, Osaka",Castle see,"12th floor of Jimi Panasonic Tower, Chuo-ku, Osaka-shi, Osaka",135.53271,34.69383
872-1205,Oita Prefecture,Bungotakata City,Ohata,"Obata, Bungotakata City, Oita Prefecture",131.52789,33.62251
055-0007,Hokkaido,"Hidaka-cho, Saiku-gun",West of the Tomikawa,"Hidaka-cho, Hidaka-cho, Hokkaido, Tomikawa Nishi",141.98914,42.53391
310-0901,Ibaraki Prefecture,Mito City,Tano town,"Tano-cho, Mito City, Ibaraki Prefecture",140.40349,36.41624
869-0522,Kumamoto Prefecture,Ujo-shi,Matsuhashi Town Uchida,"Uchida, Matsuhashi-cho, Uki City, Kumamoto Prefecture",130.72072,32.63007
987-0004,Miyagi Prefecture,"Misato-cho, Toda-gun",Cow,"Beef Kai, Misato-cho, Tomoda-gun, Miyagi Prefecture",141.05293,38.55532
950-0855,Niigata Prefecture,"Higashi-ku, Niigata City",Gangsan,"Konan, Higashi-ku, Niigata City, Niigata Prefecture",139.07867,37.90134
874-0033,Oita Prefecture,Beppu City,Superior,"Beppu City, Oita Prefecture Kamino Minami",131.49646,33.31123
087-0036,Hokkaido,Nemuro City,Hood,Hokkaido Nemuro City Horosojiri,145.5201,43.29252
929-2246,Ishikawa Prefecture,Nanao City,Nakajima Town Tsuchikawa,"Tsuchikawa, Nakajima-cho, Nanao City, Ishikawa Prefecture",136.80804,37.10925
093-0501,Hokkaido,"Sorama-cho, Tokoro-gun",Miyamae Town,"Miyamae-cho, Sorama-cho, Tokoro-gun, Hokkaido",143.76978,44.01695
879-2114,Oita Prefecture,Oita city,Very flat,"Ohira City, Oita Prefecture",131.82086,33.23328
421-0126,Shizuoka Prefecture,"Suruga-ku, Shizuoka City",Somoute Town,"Somoutomachi for Suruga-ku, Shizuoka City, Shizuoka Prefecture",138.36086,34.93072
355-0003,Saitama,Higashimatsuyama City,Tonoyama Town,"Tonoyama-cho, Higashi-Matsuyama City, Saitama Prefecture",139.41551,36.0577
861-0571,Kumamoto Prefecture,Yamaga City,Kao Town Chatan,"Chatan, Kao-cho, Yamaga City, Kumamoto Prefecture",130.65779,32.95337
167-0022,Tokyo,Suginami,Underwater grass,"Suginami-ku, Tokyo Shimoigusa",139.62378,35.72037
680-1216,Tottori prefecture,Tottori City,Kawaramachi Kamaguchi,"Kamaguchi, Kawaramachi, Tottori City, Tottori Prefecture",134.22218,35.3723
999-1431,Yamagata Prefecture,"Oguni-cho, Nishiokuma-gun",Grilled mountain,"Yakiyama, Oguni-cho, Nishiokitama-gun, Yamagata Prefecture",139.74744,38.162
950-0884,Niigata Prefecture,"Higashi-ku, Niigata City",Ensemble,"Enoki, Higashi-ku, Niigata City, Niigata Prefecture",139.08566,37.92766
682-0911,Tottori prefecture,Kurayoshi City,Temple valley,"Teratani, Kurayoshi City, Tottori Prefecture",133.81062,35.45601
100-6408,Tokyo,Chiyoda Ward,Marunouchi,"8th floor of Marunouchi Tokyo Building, Chiyoda-ku, Tokyo",139.76344,35.68002
410-2122,Shizuoka Prefecture,Izu no Kuni City,Temple family,"Izu-no-kuni City Family, Shizuoka Prefecture",138.94427,35.04733
031-0073,Aomori Prefecture,Hachinohe City,Selling market,"Hachinohe City, Aomori Prefecture",141.48079,40.5167
630-2205,Nara Prefecture,"Yamazoe Village, Yamabe-gun",Kiriyama,"Kiriyama, Yamazoe Village, Yamabe-gun, Nara Prefecture",135.97305,34.68473
160-6110,Tokyo,Shinjuku ward,Nishi-Shinjuku Sumitomo Real Estate Shinjuku Grand Tower,"Shinjuku-ku, Tokyo, Sumitomo Nishi-Shinjuku Real Estate Shinjuku Grand Tower 10th floor",139.68762,35.68754
781-5606,Kochi Prefecture,Konan City,Yasu-cho Kamiyasu,"Kamiju-machi, Konami-shi, Kochi-shi, Kochi",133.78659,33.5525
038-2501,Aomori Prefecture,"Fukaura-cho, Nishizugaru-gun",Yanagida,"Yanagida, Fukaura-cho, Nishizu-gun, Aomori Prefecture",140.13939,40.73451
445-0843,Aichi prefecture,Nishio City,Tenjin-cho,"Tenjin-cho, Nishio City, Aichi Prefecture",137.04987,34.87078
940-2529,Niigata Prefecture,Nagaoka City,Teradomari Yamatada,"Nagaoka City, Niigata Prefecture, Teradomari Yamadomari",138.76134,37.61961
221-0055,Kanagawa Prefecture,"Kanagawa-ku, Yokohama",Ono town,"Ono-cho, Kanagawa-ku, Yokohama-shi, Kanagawa",139.63002,35.46732
811-5313,Nagasaki Prefecture,Iki city,Ashibe Town Moriyoshi Nakago,"Ashibe-cho, Ashiki-shi, Nagasaki, Nagasaki Prefecture",129.75107,33.79322
606-8305,Kyoto,"Sakyo-ku, Kyoto",Yoshida Kawaramachi,"Yoshida Kawaramachi, Sakyo-ku, Kyoto-shi, Kyoto",135.77286,35.0241
729-4203,Hiroshima,Third,Yoshimachi Yasuda,"Yasuda, Yoshihamachi, Miyoshi City, Hiroshima Prefecture",133.03093,34.73336
049-4434,Hokkaido,"Citana-cho, Kuon-gun",Kitahiyama-ku Nishinwa,"Nishinwa, Kitahiyama-ku, Kitahiyama-ku, Kuon-gun, Hokkaido",139.91469,42.43018
898-0024,Kagoshima prefecture,Makurazaki City,Nishi-Yakaga,"Nishikago, Makurazaki City, Kagoshima Prefecture",130.26619,31.29701
